前项,后项,支持度 %,置信度 %,提升
{'大专'},{'1-3年'},0.12274588378778639,0.3282851817334576,1.158433938247267
{'1-3年'},{'大专'},0.12274588378778639,0.43313864125422685,1.158433938247267
{'月薪1万以下'},{'1-3年'},0.22693614426343758,0.3230406746031746,1.1399274220011808
{'1-3年'},{'月薪1万以下'},0.22693614426343758,0.8007992622194896,1.1399274220011806
{'本科'},{'3-5年'},0.12884397595609373,0.26788625249049086,1.2295347030541162
{'3-5年'},{'本科'},0.12884397595609373,0.5913634546181527,1.229534703054116
{'不限'},{'大专'},0.12980224758254202,0.39015449070437286,1.0434723669141417
{'大专'},{'不限'},0.12980224758254202,0.3471575023299161,1.0434723669141417
{'不限'},{'月薪1万以下'},0.2712779858872724,0.8153967007069914,1.160706687427524
{'月薪1万以下'},{'不限'},0.2712779858872724,0.38616071428571425,1.1607066874275238
{'大专'},{'月薪1万以下'},0.2855649446815925,0.7637465051258155,1.0871833001412743
{'月薪1万以下'},{'大专'},0.2855649446815925,0.40649801587301587,1.0871833001412743
{'学历不限'},{'月薪1万以下'},0.10323198884920289,0.8116438356164383,1.1553645323711674
{'月薪1-2万'},{'本科'},0.11455701716177367,0.5605285592497868,1.1654242585814714
{'本科'},{'月薪1-2万'},0.11455701716177367,0.23818148886071364,1.1654242585814714
"{'大专', '月薪1万以下'}",{'1-3年'},0.10244794842756337,0.35875533862111036,1.2659552819033895
"{'1-3年', '月薪1万以下'}",{'大专'},0.10244794842756337,0.4514395393474088,1.207379886339447
"{'1-3年', '大专'}",{'月薪1万以下'},0.10244794842756337,0.8346344925479062,1.188091436006624
{'大专'},"{'1-3年', '月薪1万以下'}",0.10244794842756337,0.27399813606710155,1.2073798863394467
{'1-3年'},"{'大专', '月薪1万以下'}",0.10244794842756337,0.3615124500461112,1.2659552819033895
"{'不限', '大专'}",{'月薪1万以下'},0.1050614164996951,0.8093959731543625,1.1521647291466923
"{'月薪1万以下', '大专'}",{'不限'},0.1050614164996951,0.3679072605247102,1.105841174014964
"{'不限', '月薪1万以下'}",{'大专'},0.1050614164996951,0.3872832369942196,1.0357931680933474
{'大专'},"{'不限', '月薪1万以下'}",0.1050614164996951,0.2809878844361603,1.0357931680933474
{'不限'},"{'月薪1万以下', '大专'}",0.1050614164996951,0.3157894736842105,1.105841174014964
"{'不限', '本科'}",{'月薪1万以下'},0.10305775764439411,0.8249651324965133,1.1743272266775142
"{'本科', '月薪1万以下'}",{'不限'},0.10305775764439411,0.3361750497300369,1.0104617428256333
{'不限'},"{'本科', '月薪1万以下'}",0.10305775764439411,0.3097669547001833,1.0104617428256335
