,word,count,占比
0,管理机构,907,0.276
1,客户资源,479,0.146
2,产品销售,443,0.135
3,开拓精神,308,0.094
4,资源整合,297,0.09
5,金融机构,270,0.082
6,理财产品,270,0.082
7,组织协调,156,0.047
8,商务谈判,156,0.047
9,金融市场,3,0.001
