,客户资源,金融机构,理财产品,客户服务,管理工作,产品销售,市场营销,管理机构,专业知识,表达能力
聚类0,0.813,0.85,1.052,1.118,1.346,1.039,1.101,0.398,1.14,1.058
聚类1,0.202,0.179,0.197,0.0,0.002,0.419,0.0,1.012,0.0,0.0
聚类2,0.618,0.604,0.384,0.515,0.286,0.175,0.531,0.222,0.493,0.575
