,word,count,占比
0,客户资源,1929,0.156
1,管理工作,1442,0.116
2,理财产品,1439,0.116
3,客户服务,1439,0.116
4,金融机构,1282,0.103
5,产品销售,1100,0.089
6,市场营销,997,0.08
7,专业知识,984,0.079
8,财务管理,911,0.073
9,表达能力,881,0.071
