,word,count,占比
0,金融,3050,0.117
1,管理,4300,0.165
2,投资,3484,0.133
3,经济,1411,0.054
4,营销,1520,0.058
5,理财,1752,0.067
6,证券,732,0.028
7,法律,572,0.022
8,市场营销,561,0.021
9,银行,776,0.03
10,会计,2206,0.085
11,教育,310,0.012
12,不限,4944,0.189
13,其他,481,0.018
