,word,count,占比
0,金融,2802,0.255
1,管理,854,0.078
2,投资,223,0.02
3,经济,1645,0.15
4,营销,594,0.054
5,证券,316,0.029
6,法律,456,0.042
7,市场营销,360,0.033
8,会计,725,0.066
9,不限,2538,0.231
10,其他,466,0.042
