前项,后项,支持度 %,置信度 %,提升
{'大专'},{'10年以上'},0.11816192560175055,0.23376623376623376,1.012617714039515
{'10年以上'},{'大专'},0.11816192560175055,0.5118483412322274,1.012617714039515
{'10年以上'},{'月薪2-5万'},0.15426695842450766,0.6682464454976303,2.4141393327463803
{'月薪2-5万'},{'10年以上'},0.15426695842450766,0.5573122529644269,2.41413933274638
{'本科'},{'10年以上'},0.11159737417943107,0.2328767123287671,1.0087645263909626
{'10年以上'},{'本科'},0.11159737417943107,0.48341232227488146,1.0087645263909628
{'月薪1-2万'},{'5-10年'},0.2888402625820569,0.6000000000000001,1.4942779291553137
{'5-10年'},{'月薪1-2万'},0.2888402625820569,0.7193460490463216,1.4942779291553134
{'本科'},{'5-10年'},0.2461706783369803,0.5136986301369864,1.2793475420850287
{'5-10年'},{'本科'},0.2461706783369803,0.6130790190735695,1.2793475420850287
{'不限'},{'大专'},0.11706783369803063,0.884297520661157,1.749454402346964
{'大专'},{'不限'},0.11706783369803063,0.2316017316017316,1.7494544023469643
{'大专'},{'月薪1万以下'},0.1137855579868709,0.2251082251082251,1.2700550478328256
{'月薪1万以下'},{'大专'},0.1137855579868709,0.6419753086419754,1.2700550478328256
{'大专'},{'月薪2-5万'},0.14442013129102846,0.2857142857142857,1.0321852060982495
{'月薪2-5万'},{'大专'},0.14442013129102846,0.5217391304347827,1.0321852060982497
{'月薪1-2万'},{'本科'},0.27571115973741794,0.5727272727272728,1.1951432129514323
{'本科'},{'月薪1-2万'},0.27571115973741794,0.5753424657534247,1.1951432129514323
"{'月薪1-2万', '本科'}",{'5-10年'},0.18927789934354486,0.6865079365079365,1.7097227628562779
"{'月薪1-2万', '5-10年'}",{'本科'},0.18927789934354486,0.6553030303030303,1.3674588349245884
"{'本科', '5-10年'}",{'月薪1-2万'},0.18927789934354486,0.7688888888888888,1.597191919191919
{'月薪1-2万'},"{'本科', '5-10年'}",0.18927789934354486,0.3931818181818182,1.5971919191919193
{'本科'},"{'月薪1-2万', '5-10年'}",0.18927789934354486,0.3949771689497717,1.3674588349245882
{'5-10年'},"{'月薪1-2万', '本科'}",0.18927789934354486,0.4713896457765668,1.7097227628562779
