Epoch,train_loss,train_acc
0001,0.183109,0.935100
0002,0.157931,0.946827
0003,0.147132,0.951165
0004,0.157661,0.948594
0005,0.130669,0.957430
0006,0.145614,0.952610
0007,0.131738,0.956466
0008,0.128429,0.958233
0009,0.127394,0.957430
0010,0.122222,0.959518
