Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
领队,0.051,行程,0.048,行程,0.027,导游,0.052,导游,0.047
行程,0.041,瑞士,0.027,时间,0.022,行程,0.032,行程,0.025
导游,0.038,导游,0.026,领队,0.020,欧洲,0.027,领队,0.020
欧洲,0.026,时间,0.024,欧洲,0.020,领队,0.017,欧洲,0.016
景点,0.019,领队,0.023,大家,0.017,大家,0.016,历史,0.013
历史,0.016,意大利,0.016,历史,0.013,专业,0.012,酒店,0.012
酒店,0.015,景点,0.015,瑞士,0.011,历史,0.010,大家,0.010
专业,0.013,法国,0.012,导游,0.011,景点,0.010,时间,0.009
时间,0.011,欧洲,0.011,酒店,0.009,耐心,0.009,团餐,0.008
愉快,0.008,酒店,0.010,自由,0.007,热情,0.008,愉快,0.008
文化,0.008,大家,0.010,总体,0.007,时间,0.008,团队,0.008
大家,0.008,巴黎,0.010,购物,0.007,幽默,0.008,景点,0.008
团友,0.007,自由,0.010,感觉,0.007,体验,0.008,旅程,0.007
团队,0.007,购物,0.009,德国,0.006,谢谢,0.008,瑞士,0.007
认真负责,0.007,深度,0.008,景色,0.006,愉快,0.007,英国,0.006
丰富,0.007,小镇,0.006,司机,0.006,风趣,0.007,方面,0.006
全程,0.007,国家,0.006,意大利,0.006,认真负责,0.006,董导,0.006
感觉,0.007,地方,0.006,建议,0.006,细心,0.006,感觉,0.006
旅途,0.006,风景,0.006,全程,0.005,瑞士,0.006,细致,0.006
住宿,0.006,全程,0.006,基本,0.005,旅程,0.006,耐心,0.006
耐心,0.006,有点,0.005,文化,0.005,细致,0.006,线路,0.006
问题,0.006,历史,0.005,景点,0.005,朋友,0.005,购物,0.006
总体,0.006,少女,0.005,国家,0.005,陈导,0.005,住宿,0.005
线路,0.006,专业,0.005,人文,0.005,全程,0.005,小镇,0.005
购物,0.006,感觉,0.005,老人,0.005,团友,0.005,司机,0.005
体验,0.005,整体,0.004,英国,0.005,完美,0.005,自由,0.005
人文,0.005,团队,0.004,团队,0.005,英国,0.005,巴黎,0.005
细心,0.005,耐心,0.004,机场,0.005,团队,0.005,全程,0.005
旅程,0.005,住宿,0.004,大巴,0.004,父母,0.005,团友,0.005
幽默,0.005,遗憾,0.004,法国,0.004,爸妈,0.004,建议,0.005
司机,0.005,线路,0.004,东西,0.004,丰富,0.004,文化,0.004
热情,0.005,王导,0.004,天气,0.004,风景,0.004,细心,0.004
紧凑,0.005,美景,0.004,伦敦,0.004,刘导,0.004,总体,0.004
细致,0.005,总体,0.004,愉快,0.004,关心,0.004,舒适,0.004
风景,0.004,机会,0.004,安全,0.004,文化,0.004,董力鸣,0.004
谢谢,0.004,游客,0.004,团友,0.004,自由,0.004,专业,0.004
地方,0.004,细心,0.004,热情,0.004,顺利,0.004,完美,0.004
顺利,0.004,雪山,0.004,爱尔兰,0.003,认真,0.004,中餐,0.004
游客,0.004,团友,0.003,专业,0.003,司机,0.004,伦敦,0.004
很好,0.004,顺利,0.003,少女,0.003,总体,0.003,国家,0.004
很棒,0.004,司机,0.003,住宿,0.003,详细,0.003,团员,0.003
风趣,0.004,天气,0.003,问题,0.003,意大利,0.003,体验,0.003
英国,0.004,基本,0.003,参观,0.003,很好,0.003,有点,0.003
整体,0.004,团餐,0.003,游玩,0.003,海军,0.003,大巴,0.003
经验丰富,0.004,罗马,0.003,城市,0.003,天气,0.003,丰富,0.003
经验,0.004,愉快,0.003,巴黎,0.003,建筑,0.003,地方,0.003
路线,0.003,城市,0.003,孩子,0.003,有点,0.003,最好,0.003
团餐,0.003,便宜,0.003,有点,0.003,渊博,0.003,整体,0.003
详细,0.003,建议,0.003,丰富,0.003,仔细,0.003,意大利,0.003
安全,0.003,东西,0.003,遗憾,0.003,李导,0.003,美景,0.003
团员,0.003,时候,0.003,上海,0.003,快乐,0.003,问题,0.003
意大利,0.003,人文,0.003,地方,0.003,刘霖,0.003,渊博,0.003
国家,0.003,辛苦,0.003,建筑,0.003,问题,0.003,教堂,0.003
大巴,0.003,上海,0.003,游客,0.003,游客,0.003,天气,0.003
基本,0.003,优秀,0.003,团餐,0.003,唐导,0.003,辛苦,0.003
自由,0.003,问题,0.003,飞机,0.003,机会,0.003,谢谢,0.003
完美,0.003,印象,0.003,故事,0.003,五星,0.003,城堡,0.002
能力,0.003,景色,0.003,顺利,0.002,美好,0.003,机场,0.002
游玩,0.003,认真负责,0.003,蔡导,0.002,购物,0.003,蔡导,0.002
特色,0.003,参观,0.003,优美,0.002,法国,0.003,基本,0.002
热心,0.003,完美,0.002,体验,0.002,敬业,0.003,风景,0.002
建议,0.003,游玩,0.002,很好,0.002,线路,0.003,经典,0.002
敬业,0.003,旅程,0.002,耐心,0.002,欧洲游,0.003,很棒,0.002
有点,0.003,美丽,0.002,中餐,0.002,国家,0.003,味道,0.002
机会,0.003,德国,0.002,辛苦,0.002,态度,0.003,敬业,0.002
辛苦,0.003,最好,0.002,父母,0.002,团游,0.003,美丽,0.002
瑞士,0.003,领略,0.002,细心,0.002,经验丰富,0.003,顺利,0.002
深度,0.003,妈妈,0.002,东欧,0.002,老人,0.002,参观,0.002
方面,0.003,体验,0.002,税单,0.002,带队,0.002,详细,0.002
幸运,0.002,经典,0.002,回程,0.002,旅途,0.002,金导,0.002
产品,0.002,特色,0.002,团游,0.002,人文,0.002,餐饮,0.002
经典,0.002,舒适,0.002,中国,0.002,美丽,0.002,德国,0.002
舒适,0.002,路线,0.002,风景,0.002,优秀,0.002,时候,0.002
团游,0.002,餐厅,0.002,整体,0.002,王导,0.002,干净,0.002
渊博,0.002,不同,0.002,完美,0.002,有幸,0.002,方便,0.002
认真,0.002,老佛爷,0.002,团里,0.002,安全,0.002,中国,0.002
四国,0.002,英国,0.002,房间,0.002,酒店,0.002,金牌,0.002
印象,0.002,风光,0.002,情况,0.002,罗马,0.002,人文,0.002
王导,0.002,阿骏,0.002,朋友,0.002,幸运,0.002,西餐,0.002
全团,0.002,完全,0.002,个人,0.002,辛苦,0.002,一般,0.002
领略,0.002,中餐,0.002,特色,0.002,公司,0.002,行李,0.002
注意事项,0.002,经验,0.002,一般,0.002,团员,0.002,孩子,0.002
美好,0.002,方面,0.002,认真,0.002,紧凑,0.002,城市,0.002
房间,0.002,热情,0.002,标准,0.002,热心,0.002,罗马,0.002
不同,0.002,漂亮,0.002,环境,0.002,深度,0.002,美好,0.002
知识面,0.002,浪漫,0.002,旅程,0.002,感觉,0.002,景色,0.002
欧洲游,0.002,佛罗伦萨,0.002,重要,0.002,风情,0.002,路线,0.002
孩子,0.002,带队,0.002,教堂,0.002,注意事项,0.002,惊喜,0.002
重要,0.002,车程,0.002,办理,0.002,游程,0.002,经验,0.002
时候,0.002,个人,0.002,轻松,0.002,马导,0.002,孙导,0.002
刘霖,0.002,一般,0.002,方便,0.002,领略,0.002,建筑,0.002
德国,0.002,团游,0.002,航班,0.002,清晰,0.002,陪伴,0.002
干净,0.002,湖光山色,0.002,完全,0.002,圆满,0.002,顾琳,0.002
业务,0.002,文化,0.002,渊博,0.002,地方,0.002,旅行团,0.002
优秀,0.002,朋友,0.002,罗马,0.002,住宿,0.002,幸运,0.002
客人,0.002,方便,0.002,紧凑,0.002,舒适,0.002,直接,0.002
轻松,0.002,机场,0.002,幽默,0.002,经历,0.002,庄园,0.002
情况,0.002,谢东,0.002,方面,0.002,东欧,0.002,热情,0.002
带队,0.002,卢浮宫,0.002,详细,0.002,伦敦,0.002,注意事项,0.001
个人,0.002,教堂,0.002,文导,0.002,樊帆,0.002,轻松,0.001
