内容,主题概率,主题类型
早上 下单 晚上 京东 物流 很赞 生产日期 大半 回事儿 喜欢 自助 喜欢 麻烦 客服 一次性 四罐 临期 食品 标题 标注,"[(0, 0.0170557), (1, 0.9651628), (2, 0.01778143)]",1
第一次 口感 好极了 入口 奶香 京东 下单 失望 日期 好像 收到 快递 很快 满嘴 黏腻 上次 奶味 浅要 仔细 感受 感受 到奶 味儿 每次 拉丝 拉得 很长 家买 豆腐块 拖泥带水 感觉 放胶 第一次 肯定 再也不会 品牌 日期 太久 回事 真的 忧伤 本来 图个 感觉不好 商家 直营店 一头雾水,"[(1, 0.9847167)]",1
奶豆腐 酸奶 运输 仓库 打开 成型 原本 味道 网上 酸奶 慎重,"[(0, 0.028901398), (1, 0.9396765), (2, 0.031422067)]",1
快递 冰袋 快递 配送,"[(0, 0.8530021), (1, 0.07325528), (2, 0.073742665)]",0
酸奶 当天 晚上 收到 打开 包装 发现 从顶 裂缝 打电话 快递 申请 售后 流程 门口 丢掉 第二天 京东 客服 包装 破损 酸奶 寄回 售后 辣鸡 售后 态度,"[(0, 0.013923146), (1, 0.9724872), (2, 0.013589601)]",1
酸奶 生产日期 新鲜 半个 人工 客服 智能 回复 产品 过期 两大 罐子 我得 上顿 喝完 下顿 选择 生鲜 当日 配送 意义 快递 差评,"[(0, 0.016425736), (1, 0.01603717), (2, 0.9675371)]",2
无冷链 运输 套个 塑料袋 送过来,"[(0, 0.88550663), (1, 0.057807058), (2, 0.05668628)]",0
差评 京东 商城 下单 提示 送到 第二天 通知 情况 下悄 改为 送到 疫情 原因 理解 追究 发货 京东 客服 投诉 能发 发货 催办 第二天 改到 送到 客服 提示 客服 忙接 不通 好不容易 客服 领导 协商 小时 回复 无人 回复 日才 送达 傲慢 态度 忍无可忍 疫情 原因 送货 理解 告诉 发货 原因 京东 客服 回答 机械化 培训 无聊 京东 购物 酸奶,"[(1, 0.98789823)]",1
东西 不错 快递 没人 翻出来 找到 给予 差评 店铺 客服 机械 回答 京东 客服 京东 自营 还分 京东 客服 京东 客服 满意 购物 希望 改进,"[(0, 0.014111544), (1, 0.9703669), (2, 0.015521537)]",1
生鲜 东西 特别 包装 优先 派送 早上 八点 显示 配送 中午 一点 送到 全程 冷链 可想而知 快递 小哥 配送 服务 跟上 生鲜 生意 配送,"[(0, 0.9696451), (1, 0.015295941), (2, 0.0150589505)]",0
图片 京东 塑料袋 装着 纸盒 发现 底部 袋子 流出 酸奶 客服 物流 原因 顾客 京东 物流,"[(0, 0.09437327), (1, 0.43927297), (2, 0.4663537)]",2
塑料袋 快递 包装 冷链,"[(0, 0.85595775), (1, 0.073288634), (2, 0.07075363)]",0
包装 商品 希望 京东 说法 超出 心理 预期 商家 包装 发货 快递 自行 拆过 包装 京东 服务 花钱 上香,"[(0, 0.019507643), (1, 0.9620015), (2, 0.01849081)]",1
两次 感觉不好 酸奶 打开 上半 糊状 不像 前几次 豆腐块 一点 生产 运输 不爽,"[(0, 0.02501434), (1, 0.94640434), (2, 0.028581377)]",1
好吃 明胶 一颗 星给 快递,"[(0, 0.86398786), (1, 0.07028941), (2, 0.06572276)]",0
本来 保质期 快递 到手 保质期 礼拜 赶着 时间 过期 鲜奶 第一次 差评 真的 很无语,"[(0, 0.024280464), (1, 0.95012856), (2, 0.025590938)]",1
生产 酸奶 开罐 发现 一圈 密封圈 位置 运输 途中 孵化 条件 温度 小时 孵化 东西 放在 保温箱 收到 冰箱 苍蝇 产卵 孵化 仓储 过程 密封圈 内侧 苍蝇 装罐 密封 罐子 产卵 肯定 生产 过程 全额 退款 曝光 负责 无良 商家,"[(2, 0.9819732)]",2
说实话 优惠券 京东 淘宝 拼多贵 担心 疫情 期间 快递 时效 肯定 京东 多花钱 却是 日期 极差 拼多 到手 生产 一周 京东 三次 到手 两桶 总共 保质期 三分之二 商家 没错 确实 效期 这是 高价 清货 商家 采购 送到 京东 时间 京东 手里 时间 电商 日期 新鲜 下单 三次 两次 正好 东西 效期 售后 理赔 正好 时间 点上 商家 精明 有种 感觉 商家 客服 生产日期 商家 主动 更新 信息 标题 详情 不赖 京东 补贴 一张 生鲜 我要 肯定 一桶 酸奶 商家 一句 做生意 别玩 心眼 评价 发出 看吧,"[(1, 0.24778163), (2, 0.7478825)]",2
送货 安装 安装工 京东 空调 保障,"[(0, 0.05292394), (1, 0.88917434), (2, 0.057901707)]",1
快递 恶意 退货 四五次 时间 配送 提前,"[(0, 0.048511643), (1, 0.046018206), (2, 0.90547013)]",2
送货 服务 上门 安装 服务周到,"[(0, 0.8697233), (1, 0.07098544), (2, 0.05929123)]",0
物流 上门 安装 服务 很快,"[(0, 0.0754378), (1, 0.86344194), (2, 0.061120268)]",1
物流 调度 态度 强制 更改 送货 时间 购物 体验,"[(0, 0.036688227), (1, 0.040035553), (2, 0.9232762)]",2
安装 安装 用后 再评 快递 小哥 服务周到 还给 送上 三楼,"[(0, 0.034209404), (1, 0.933424), (2, 0.0323666)]",1
安装 用后 再评 快递 小哥 服务周到 还给 送上 三楼,"[(0, 0.037718423), (1, 0.9266235), (2, 0.03565806)]",1
送货 一周 安排 人员 安装 客服 回复,"[(0, 0.05619812), (1, 0.5978295), (2, 0.34597236)]",1
送货 安装 送货到 挺快 安装 售后 一踏 糊涂 主动 安装时间 电话 只管 销售 送货 那要 售后服务 干嘛 格力 学习,"[(0, 0.018418698), (1, 0.96384597), (2, 0.017735338)]",1
