所属主题,文章数量,特征词,主题强度
Topic0,153,快递、京东、送货、安装、物流、包装、速度、收到、不错、服务、师傅、小哥、配送、很快、超市、购买、送到、生鲜、下单、价格,0.225
Topic1,308,京东、安装、物流、送货、快递、好吃、喜欢、真的、包装、很快、特别、购物、客服、满意、速度、活动、师傅、鱼丸、不错、收到,0.45294
Topic2,219,京东、味道、鱼丸、不错、快递、物流、丸子、好吃、送货、火锅、特别、活动、安装、很快、价格、喜欢、购买、东西、小哥、海欣,0.32206
