Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重
快递,0.031,京东,0.037,京东,0.028
京东,0.030,安装,0.026,味道,0.021
送货,0.018,物流,0.020,鱼丸,0.021
安装,0.015,送货,0.016,不错,0.020
物流,0.012,快递,0.013,快递,0.017
包装,0.010,好吃,0.012,物流,0.016
速度,0.008,喜欢,0.012,丸子,0.014
收到,0.008,真的,0.010,好吃,0.012
不错,0.007,包装,0.010,送货,0.012
服务,0.007,很快,0.009,火锅,0.011
师傅,0.007,特别,0.008,特别,0.010
小哥,0.006,购物,0.008,活动,0.010
配送,0.006,客服,0.008,安装,0.009
很快,0.006,满意,0.008,很快,0.008
超市,0.006,速度,0.007,价格,0.008
购买,0.006,活动,0.007,喜欢,0.008
送到,0.006,师傅,0.007,购买,0.007
生鲜,0.005,鱼丸,0.007,东西,0.007
下单,0.005,不错,0.007,小哥,0.006
价格,0.005,收到,0.006,海欣,0.006
