word,counts
brand,11
htps,9
asia,8
southeast,7
solution,7
sale,6
ecomerce,6
ecosystem,5
marketing,5
lazada,5
mega,4
indonesia,4
team,4
operation,4
lazmal,4
shoping,4
selers,4
hour,3
join,3
acros,3
ceo,3
partnership,3
asociate,3
buyer,3
ap,3
partner,3
experience,3
sustainable,3
building,2
deal,2
shopers,2
asian,2
win,2
discusion,2
synagie,2
europe,2
competive,2
industry,2
technology,2
busines,2
data,2
online,2
power,2
growing,2
aply,2
specialist,2
mandarin,2
speaker,2
key,2
manager,2
ready,2
carer,2
player,2
senior,2
top,2
time,2
future,2
forum,2
digital,2
exchange,2
idea,2
lok,2
forward,2
exciting,2
region,2
lazadas,2
al,2
sustainability,2
event,2
inovative,2
packaging,2
pt,2
excelence,2
anticipation,1
eagerlyawaited,1
fun,1
gear,1
bring,1
unbeatable,1
ofers,1
leverage,1
topic,1
panel,1
moderated,1
momentum,1
jiangan,1
li,1
joined,1
ninja,1
van,1
chief,1
oficer,1
alvin,1
teo,1
md,1
cofounder,1
olive,1
tai,1
publicis,1
groupe,1
