主题类型,0
0,"{'消极态度': 0.15, '积极态度': 0.85}"
1,"{'消极态度': 0.24, '积极态度': 0.76}"
2,"{'消极态度': 0.08, '积极态度': 0.92}"
3,"{'消极态度': 0.14, '积极态度': 0.86}"
