聚类数量,轮廓系数
2,0.8607601722152108
3,0.8849974422726351
4,0.9083106869482833
5,0.9191854764606694
6,0.8974358974358975
7,0.8974358974358975
8,0.8974358974358975
9,0.8974358974358975
10,0.8974358974358975
