,area,values
0,上海市,818
1,江苏省,159
2,北京市,137
3,浙江省,91
4,广东省,76
5,四川省,37
6,山东省,28
7,陕西省,23
8,天津市,19
9,安徽省,18
10,河北省,16
11,云南省,15
12,河南省,14
13,辽宁省,14
14,福建省,13
15,湖北省,13
16,重庆市,12
17,吉林省,11
18,黑龙江省,9
19,江西省,8
20,海南省,5
21,湖南省,5
22,山西省,5
23,内蒙古省,4
24,贵州省,4
25,甘肃省,3
26,广西省,2
27,宁夏省,2
28,青海省,1
