Topic0-主题词,Topic0-权重,,Topic1-主题词,Topic1-权重,,Topic2-主题词,Topic2-权重,,Topic3-主题词,Topic3-权重,,Topic4-主题词,Topic4-权重,,Topic5-主题词,Topic5-权重,,Topic6-主题词,Topic6-权重,,Topic7-主题词,Topic7-权重,,Topic8-主题词,Topic8-权重,,Topic9-主题词,Topic9-权重,,Topic10-主题词,Topic10-权重,,Topic11-主题词,Topic11-权重,,Topic12-主题词,Topic12-权重,,Topic13-主题词,Topic13-权重,
适合,0.013,/,舒适,0.013,D2,前台,0.012,D,推荐,0.012,E,感觉,0.009,/,管家,0.012,D,干净,0.014,A3,推荐,0.012,E,整体,0.011,/,推荐,0.012,E,卫生,0.01,A3,舒服,0.012,D2,位置,0.01,A1,感觉,0.012,/
环境,0.012,A3,入住,0.013,/,热情,0.011,C3,舒服,0.011,D2,卫生,0.009,A3,贴心,0.011,C3,好吃,0.012,F1,卫生,0.012,A3,出行,0.009,A1,整洁,0.011,A3,民宿,0.01,A,老板,0.012,D,入住,0.01,/,交通,0.012,A1
喜欢,0.011,E,地理位置,0.01,A1,老板,0.011,D,热情,0.01,C3,提前,0.009,C1,体验,0.011,/,体验,0.012,/,入住,0.012,/,入住,0.008,/,早餐,0.009,F1,舒适,0.009,D2,很棒,0.01,/,舒服,0.01,D2,位置,0.012,A1
满意,0.009,/,装修,0.008,F2,感觉,0.01,/,选择,0.009,/,管家,0.009,D,舒服,0.01,D2,打卡,0.01,A1,前台,0.011,D,设施,0.008,A2,朋友,0.008,/,喜欢,0.009,E,舒适,0.008,D2,舒适,0.01,D2,老板,0.011,D
对面,0.008,A1,值得,0.008,E,喜欢,0.009,E,值得,0.008,E,下午茶,0.008,F1,感觉,0.01,/,舒服,0.01,D2,喜欢,0.009,E,漂亮,0.007,A,老板,0.008,D,整洁,0.008,A3,酒店,0.007,A,酒店,0.01,A,设施,0.01,A2
整洁,0.008,A3,服务态度,0.008,C,装修,0.009,F2,地理位置,0.008,A1,姐姐,0.008,/,空调,0.008,A2,外卖,0.01,/,出行,0.008,A1,行李,0.007,/,很棒,0.008,/,住宿,0.008,/,入住,0.007,/,民宿,0.009,A,贴心,0.01,C3
地理位置,0.008,A1,惬意,0.006,D2,适合,0.009,/,设施,0.008,A2,热情,0.008,C3,喜欢,0.008,E,整体,0.008,/,位置,0.008,A1,住宿,0.007,/,设施,0.008,A2,很棒,0.008,/,感觉,0.007,/,院子,0.008,A,推荐,0.009,E
风格,0.008,F,投影,0.006,A2,入住,0.009,/,朋友,0.007,/,喜欢,0.008,E,卫生,0.008,A3,管家,0.008,D,地理位置,0.008,A1,贴心,0.007,C3,热情,0.007,C3,不错,0.008,/,推荐,0.007,E,朋友,0.008,/,酒店,0.008,A
很大,0.008,A,交通,0.006,A1,好吃,0.008,F1,地方,0.007,A1,开心,0.007,/,细节,0.006,E4,性价比,0.008,E,装修,0.008,F2,装修,0.007,F2,很大,0.007,A,洗衣机,0.006,A2,地理位置,0.007,A1,到位,0.007,D,便利,0.008,A1
酒店,0.008,A,很棒,0.006,/,拍照,0.008,A,出行,0.007,A1,早餐,0.007,F1,热情,0.006,C3,设施,0.008,A2,好吃,0.007,F1,整洁,0.007,A3,好吃,0.007,F1,地方,0.006,A1,选择,0.006,/,好吃,0.007,F1,很棒,0.008,/
感觉,0.008,/,江景,0.006,A1,下午茶,0.007,F1,满意,0.007,/,整体,0.007,/,商圈,0.006,A1,空调,0.006,A2,拍照,0.007,A,值得,0.007,E,舒服,0.007,D2,建议,0.006,E1,交通,0.006,A1,地方,0.007,A1,店家,0.005,D
冰箱,0.007,A2,管家,0.006,D,早餐,0.007,F1,体验,0.007,/,舒适,0.007,D2,好评,0.006,/,价格,0.006,E,设施,0.007,A2,空调,0.006,A2,游玩,0.006,A1,价格,0.006,E,老板娘,0.006,D,体验,0.007,/,打扫,0.005,A3
老板娘,0.007,D,夜景,0.006,A,风格,0.007,F,贴心,0.006,C3,老板,0.007,D,早餐,0.006,F1,地铁站,0.006,A1,风格,0.007,F,风格,0.006,F,值得,0.006,E,设施,0.006,A2,位置,0.006,A1,老板,0.006,D,行李,0.005,/
好吃,0.007,F1,关键,0.005,/,地理位置,0.006,A1,行李,0.006,/,设施,0.006,A2,江景,0.006,A1,贴心,0.006,C3,床品,0.005,A2,满意,0.006,/,出行,0.006,A1,值得,0.006,E,整体,0.005,/,整洁,0.006,A3,态度,0.005,C
冬瓜,0.007,A1,枕头,0.005,A2,满意,0.006,/,位置,0.006,A1,便利,0.005,A1,位置,0.006,A1,很大,0.006,A,感觉,0.005,/,地理位置,0.006,A1,提前,0.006,C1,装修,0.006,F2,孩子,0.005,E1,满意,0.006,/,夜景,0.005,A
洗衣机,0.007,A2,早餐,0.005,F1,距离,0.006,A1,管家,0.006,D,小朋友,0.005,E1,设施,0.006,A2,下午茶,0.006,F1,图片,0.005,A,服务态度,0.006,C,泳池,0.006,A2,舒服,0.006,D2,管家,0.005,D,房型,0.006,A,好吃,0.005,F1
