Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重
不错,0.007,选择,0.005,到位,0.006,舒适,0.006,交通,0.005,拖鞋,0.004,名宿,0.006,机会,0.005,好看,0.005,适合,0.006,心情,0.005,风格,0.005,空间,0.005,休息,0.004
阳台,0.005,很漂亮,0.005,小吃,0.006,喜欢,0.006,好吃,0.005,信息,0.004,地方,0.006,整洁,0.005,提前,0.005,出门,0.005,下午茶,0.005,烧烤,0.005,小朋友,0.005,距离,0.004
放松,0.005,机会,0.005,体验,0.006,打车,0.005,朋友,0.005,很大,0.004,放松,0.006,宽敞,0.004,感觉,0.005,帮忙,0.005,落地窗,0.005,打卡,0.005,早餐,0.005,客服,0.004
走路,0.005,便利,0.005,江景,0.005,孩子,0.005,整洁,0.005,超高,0.004,硬件,0.004,店家,0.004,老板娘,0.005,打卡,0.005,房主,0.005,值得,0.005,性价比,0.005,正街,0.004
舒服,0.005,露台,0.005,很好,0.005,提前,0.005,地方,0.005,隔音,0.004,房东,0.004,放松,0.004,舒服,0.005,兄弟,0.005,窗帘,0.005,洗衣机,0.005,周到,0.005,住宿,0.004
体验,0.005,打车,0.005,整体,0.005,夜景,0.005,投影,0.005,安稳,0.004,可爱,0.004,解决,0.004,美食,0.005,店家,0.005,很大,0.005,宠物,0.004,热情,0.005,早餐,0.004
设施,0.005,环境卫生,0.005,服务态度,0.005,好吃,0.005,空调,0.004,停车,0.004,步行,0.004,回复,0.004,酒店,0.005,性价比,0.005,感觉,0.005,完善,0.004,很大,0.005,整体,0.004
下楼,0.004,好看,0.005,住宿,0.005,美食,0.004,手机,0.004,地方,0.004,整洁,0.004,很漂亮,0.004,舒适,0.005,贴心,0.004,精致,0.005,咖啡,0.004,值得,0.005,价格,0.004
宽敞,0.004,老板,0.005,公寓,0.004,老板娘,0.004,市中心,0.004,拍照,0.004,卫生间,0.004,服务态度,0.004,景点,0.005,广场,0.004,对面,0.005,朋友,0.004,总体,0.004,管家,0.004
很美,0.004,满意,0.005,空调,0.004,洗衣机,0.004,环境优美,0.004,商业街,0.004,行李,0.004,舒适,0.004,投影,0.005,时间,0.004,出入,0.005,机会,0.004,前台,0.004,总体,0.004
兄弟,0.004,不错,0.005,退房,0.004,解决,0.004,房东,0.004,出片,0.004,提供,0.004,院子,0.004,位置,0.005,特色,0.004,风格,0.005,体验,0.004,交通,0.004,值得,0.004
到位,0.004,适合,0.005,解决,0.004,住宿,0.004,退房,0.004,好吃,0.004,睡眠,0.004,适合,0.004,选择,0.005,投影,0.004,地铁站,0.005,贴心,0.004,出行,0.004,装修,0.004
出差,0.004,步行,0.003,舒适,0.004,服务态度,0.004,好玩,0.004,态度,0.004,精致,0.004,朋友,0.004,排队,0.004,下午茶,0.004,距离,0.005,小吃,0.003,贴心,0.004,出行,0.004
出门,0.004,看着,0.003,攻略,0.004,退房,0.004,水果,0.004,关键,0.004,院子,0.004,满意,0.004,钓鱼,0.004,阳台,0.004,拍照,0.005,床品,0.003,洗衣机,0.004,性价比,0.003
小吃街,0.004,照片,0.003,地铁站,0.004,开心,0.004,停车,0.004,友好,0.004,早餐,0.004,帮忙,0.003,干湿,0.004,超出,0.004,泳池,0.005,工作人员,0.003,空调,0.004,洗衣机,0.003
优越,0.004,丰盛,0.003,位置,0.004,前台,0.004,惬意,0.004,交通,0.004,冬瓜,0.004,缺点,0.003,对面,0.004,洗衣机,0.004,客人,0.005,周到,0.003,巷子,0.004,隔音,0.003
味道,0.004,味道,0.003,过程,0.003,美好,0.004,马桶,0.004,耐心,0.004,老板,0.004,江景,0.003,分离,0.004,选择,0.004,两张床,0.003,文和友,0.003,机会,0.004,景色,0.003
孩子,0.004,距离,0.003,朋友,0.003,帮忙,0.004,不到,0.004,很好,0.004,距离,0.004,地铁站,0.003,孩子,0.004,交通,0.004,有心,0.003,智能,0.003,出门,0.004,店主,0.003
停车,0.004,景点,0.003,提前,0.003,投影,0.003,地铁站,0.004,视野,0.004,便利,0.004,还给,0.003,客服,0.004,空调,0.004,泡茶,0.003,马桶,0.003,选择,0.004,用品,0.003
度假,0.004,文和友,0.003,夜市,0.003,还给,0.003,装修,0.004,质量,0.004,泳池,0.004,美食,0.003,周到,0.004,马桶,0.004,需求,0.003,格调,0.003,很棒,0.004,咖啡,0.003
店家,0.004,吃饭,0.003,值得,0.003,房子,0.003,风格,0.004,味道,0.004,经济,0.004,打卡,0.003,老板,0.004,态度,0.004,可爱,0.003,性价比,0.003,投影,0.003,拍照,0.003
细节,0.004,开心,0.003,交通,0.003,小朋友,0.003,酒店,0.004,行李,0.004,装修,0.004,选择,0.003,热情,0.004,烧烤,0.003,水果,0.003,提前,0.003,步行,0.003,时间,0.003
环境卫生,0.004,步行街,0.003,舒服,0.003,智能,0.003,孩子,0.004,风格,0.004,拍照,0.004,注重,0.003,朋友,0.004,细节,0.002,出差,0.003,满意,0.003,地铁,0.003,坡子,0.003
降价,0.003,周到,0.003,步行,0.003,风格,0.003,步行,0.004,地铁站,0.004,很棒,0.004,漏水,0.003,打车,0.004,全程,0.002,步行,0.003,很大,0.003,夜市,0.003,打车,0.003
攻略,0.003,希望,0.003,价格,0.003,走路,0.003,密码,0.003,整洁,0.004,喜欢,0.004,住宿,0.003,交通,0.004,询问,0.002,好喝,0.003,步行,0.003,小时,0.003,到位,0.003
大热天,0.003,优越,0.003,马桶,0.002,感觉,0.003,押金,0.003,装修,0.004,配套,0.004,老板娘,0.003,空间,0.004,提供,0.002,便利店,0.003,坡子,0.003,细心,0.003,机会,0.003
闺蜜,0.003,独特,0.003,缺点,0.002,小时,0.003,绿色,0.003,前台,0.004,散场,0.002,很棒,0.003,好吃,0.004,解决,0.002,好看,0.003,友好,0.003,浴缸,0.003,院子,0.003
公交,0.003,配套,0.003,氛围,0.002,对面,0.003,风景,0.003,值得,0.004,够用,0.002,值得,0.003,度假,0.004,停车场,0.002,漂亮,0.003,拍照,0.002,打卡,0.003,风景,0.003
距离,0.003,孩子,0.003,正街,0.002,露台,0.003,小孩子,0.003,舒适,0.003,新颖,0.002,房东,0.002,房东,0.003,打开,0.002,退房,0.003,下午茶,0.002,好喝,0.003,热情,0.003
休闲,0.003,广场,0.003,还好,0.002,楼梯,0.003,国金,0.003,出行,0.003,便捷,0.002,靠近,0.002,态度,0.003,小朋友,0.002,马桶,0.003,中心,0.002,帮忙,0.003,工作人员,0.003
好看,0.003,下楼,0.003,电影,0.002,打开,0.003,宾馆,0.003,条状,0.002,布局,0.002,路线,0.002,泡澡,0.002,橘子,0.002,服务员,0.003,冰箱,0.002,评价,0.003,服务态度,0.003
广场,0.003,舒心,0.003,客厅,0.002,周到,0.003,办理,0.003,拖地,0.002,简单,0.002,提供,0.002,出去玩,0.002,攻略,0.002,地理位置,0.003,合适,0.002,价位,0.003,宗街,0.003
下午茶,0.003,贴心,0.003,房东,0.002,很棒,0.003,电器,0.003,消息,0.002,期待,0.002,露台,0.002,大哥,0.002,优越,0.002,投影仪,0.003,地铁口,0.002,自助,0.003,宽敞,0.003
选择,0.003,老板娘,0.003,对面,0.002,好看,0.003,回来,0.003,滚筒,0.002,只能,0.002,押金,0.002,酒吧,0.002,夜市,0.002,坡子,0.003,发现,0.002,亲子,0.003,喜欢,0.003
地铁,0.003,总体,0.003,停车,0.002,客房,0.003,套餐,0.003,洗头水,0.002,不让,0.002,程序,0.002,电视,0.002,聚会,0.002,卫生间,0.003,热心,0.002,一楼,0.003,提前,0.003
