评论内容,fenci,主题概率,主题类型
国庆来玩，服务很好，很贴心，也特别干净，而且楼下就是咖啡店，而且附近有很多潮流的店，楼下门口拍照的人特别多，真的很热闹，不过晚上还是很安静的没有感觉很吵，昨天晚上回来这边就人少一些，都在解放西那边玩了,贴心 干净 咖啡店 潮流 拍照 热闹 感觉 回来 解放,"[(4, 0.9071359)]",4
已经是第二次入住啦，感觉每个房型都很有特色，并且每个房间的味道都不一样，放了不同味道的香薰。感觉唐顿特别的法式，而且床也挺软的，很适合我，躺下就不想起来了哈哈哈哈哈,入住 感觉 房型 特色 房间 味道 味道 感觉 法式 挺软 适合 不想,"[(0, 0.92856616)]",0
名宿太漂亮了吧！！！忍不住感叹！朋友推荐的地方！整体房间的体验感也特别好，服务也很及时，卫生也打扫的很干净，绝对是近期最舒适的一次入住了！,名宿 忍不住 感叹 朋友 推荐 地方 整体 房间 体验 卫生 打扫 干净 舒适 入住,"[(9, 0.4552538), (12, 0.48759818)]",12
非常非常非常非常漂亮的民宿！长沙第一一点也不过分 咖啡小哥贼帅！做的咖啡巨好喝！房间设施齐全干净舒服！下次还来,漂亮 民宿 咖啡 小哥 贼帅 咖啡 好喝 房间 设施 干净 舒服,"[(11, 0.922612)]",11
非常干净，很有感觉呢，被套毛巾啥的都有刺绣，很戳细节，而且枕头很舒服，很久没睡过那么香的觉了，下次来长沙玩还来这家民宿！,干净 感觉 被套 刺绣 细节 枕头 舒服 民宿,"[(5, 0.8968203)]",5
房间干净卫生，罗马风格，环境舒服，二楼小露台适合打卡，小哥哥小姐姐服务很周到，一楼是一很有格调的咖啡厅，而且咖啡好好喝，图一是一楼咖啡厅，图二三是小露台,房间 干净 卫生 风格 环境 舒服 二楼 露台 适合 打卡 周到 一楼 格调 咖啡厅 咖啡 好喝 一楼 咖啡厅 露台,"[(12, 0.9535682)]",12
这个房间早上8:00那个阳光太可了，超级无敌容易出片，有手就行，沐浴露也是棒棒的！服务也超级无敌好！地点也方便！期待嘉尔明天回来，哈哈哈！,房间 无敌 出片 棒棒 无敌 地点 期待 回来,"[(11, 0.8968132)]",11
环境很好，入住特别特别舒服，下楼就可以喝到一杯冰咖啡，开启美美的一天。,环境 入住 舒服 下楼 咖啡 开启,"[(0, 0.010204807), (1, 0.010204858), (2, 0.01020477), (3, 0.010204805), (4, 0.8673376), (5, 0.010204771), (6, 0.010204776), (7, 0.010204762), (8, 0.010204768), (9, 0.010204786), (10, 0.01020476), (11, 0.010204837), (12, 0.010204882), (13, 0.0102048)]",4
房间干净安静，一楼是一间咖啡馆，民宿有赠送我们咖啡~~喜欢这种静谧感，但是也希望房间多放两张椅子一个桌子~,房间 干净 一楼 咖啡馆 民宿 赠送 咖啡 喜欢 希望 房间 椅子 桌子,"[(11, 0.92856234)]",11
民宿一楼是个咖啡馆，特别适合拍照，而且住店客人还会免费赠送饮品超级棒（拿铁很好喝哟）。就在潮宗街离五一广场也很近，感觉去哪都方便。晚上蛮安静的，不像住在五一广场那么吵闹。不管是老板、管家小哥哥还是打扫卫生的姐姐人都特别好。推荐！,民宿 一楼 咖啡馆 适合 拍照 住店 客人 赠送 饮品 好喝 宗街 感觉 吵闹 老板 管家 姐姐 推荐,"[(2, 0.94840765)]",2
