Topic0-主题词,Topic0-权重,,Topic1-主题词,Topic1-权重,,Topic2-主题词,Topic2-权重,,Topic3-主题词,Topic3-权重,,Topic4-主题词,Topic4-权重,,Topic5-主题词,Topic5-权重,,Topic6-主题词,Topic6-权重,,Topic7-主题词,Topic7-权重,,Topic8-主题词,Topic8-权重,,Topic9-主题词,Topic9-权重,,Topic10-主题词,Topic10-权重,,Topic11-主题词,Topic11-权重,,Topic12-主题词,Topic12-权重,,Topic13-主题词,Topic13-权重,,Topic14-主题词,Topic14-权重,,Topic15-主题词,Topic15-权重,,Topic16-主题词,Topic16-权重,,Topic17-主题词,Topic17-权重,,Topic18-主题词,Topic18-权重,
姐姐,0.007,/,氛围,0.007,A3,优越,0.007,/,咖啡馆,0.005,A1,酒店,0.007,A,拍照,0.007,A,女朋友,0.006,/,拍照,0.008,A,满意,0.009,/,好吃,0.007,F1,小酒馆,0.008,E1,距离,0.007,A1,天花板,0.006,A,态度,0.006,C,房间,0.006,A,带给,0.004,/,住宿,0.008,/,洗手间,0.006,A2,超好,0.009,/
交通,0.007,A1,设施,0.007,A2,小度,0.007,A2,行李,0.005,/,入住,0.007,/,市中心,0.007,A1,泳池,0.006,A2,酒店,0.007,A,选择,0.006,/,帮忙,0.007,C,推荐,0.008,E,热情,0.007,C3,管家,0.006,D,卫生,0.006,A3,名头,0.005,/,世外桃源,0.004,A,氛围,0.007,A3,冰箱,0.006,A2,很棒,0.009,/
机会,0.007,/,睡觉,0.007,/,贴心,0.007,C3,房子,0.005,A,房东,0.006,D,交通,0.007,A1,出行,0.006,A1,坡子,0.006,A1,粉店,0.006,E1,便利,0.007,A1,酒店,0.008,A,正街,0.007,A1,水果,0.006,F1,开门,0.006,/,草坪,0.005,D,到达,0.004,/,卫生,0.007,A3,空间,0.006,A,酒店,0.007,A
步行街,0.006,A1,姐姐,0.007,/,行李,0.007,/,马桶,0.005,A2,卫生间,0.006,A2,露台,0.006,A,地方,0.006,A1,靠近,0.006,A1,优雅,0.006,F2,可爱,0.007,A,位置,0.008,A1,地理位置,0.007,A1,还好,0.006,/,浴缸,0.006,A2,喝到,0.005,/,智能,0.004,A2,很棒,0.006,/,叫外卖,0.006,/,咖啡厅,0.006,A2
好看,0.006,A,热心,0.007,C3,老板,0.007,D,开阔,0.005,A1,管家,0.006,D,朋友,0.006,/,房子,0.005,A,卫生间,0.006,A2,浴室,0.006,A2,满意,0.007,/,喜欢,0.008,E,服务态度,0.007,C,地铁,0.006,A1,舒服,0.006,D2,早餐,0.005,F1,条件,0.004,/,时间,0.006,C1,早餐,0.006,F1,一楼,0.006,A3
味道,0.006,A3,名宿,0.007,A,体验,0.007,/,归属,0.005,D2,整洁,0.006,A3,步行,0.006,A1,空调,0.005,A2,位于,0.005,A1,惬意,0.006,D2,好看,0.007,A,卫生,0.008,A3,房东,0.007,D,点心,0.006,F1,休息,0.006,/,重度,0.005,/,行李,0.004,/,交通,0.006,A1,卫生间,0.006,A2,算是,0.006,
很大,0.006,A,惬意,0.007,D2,满意,0.007,/,下楼,0.005,A1,步行,0.006,A1,地铁,0.006,A1,疲惫,0.005,/,落地窗,0.005,A2,很棒,0.006,/,酒店,0.007,A,休憩,0.004,/,舒服,0.007,D2,前台,0.006,D,热情,0.006,C3,归家,0.005,D2,给予,0.004,/,很好,0.005,/,很大,0.006,A,整洁,0.006,A3
餐厅,0.006,A,格调,0.007,F2,地理位置,0.007,A1,艺术,0.005,F,惬意,0.006,D2,地铁站,0.006,A1,院子,0.005,A,步行,0.005,A1,闺蜜,0.006,/,不错,0.007,/,湘菜,0.004,F1,喜欢,0.007,E,先订,0.006,/,时光,0.006,F2,民俗,0.005,F,孩子,0.004,E1,广场,0.005,A1,靠窗,0.006,A,选择,0.006,/
暖和,0.005,A,服务态度,0.007,C,氛围,0.007,A3,两张床,0.005,A2,住宿,0.006,/,号线,0.006,A1,希望,0.004,/,挺大,0.005,A,打扫,0.006,A3,体验,0.007,/,适合,0.004,/,到位,0.007,D,便捷,0.006,A,走廊,0.006,A3,提升,0.005,/,蜗牛,0.004,/,适合,0.005,/,打扫,0.006,A3,小楼,0.006,A
智能,0.005,A2,露营,0.007,A2,位置,0.007,A1,相比,0.005,/,需求,0.005,E1,适合,0.006,/,帮忙,0.004,C,很漂亮,0.005,A,朋友,0.006,/,贴心,0.007,C3,心累,0.004,E,满意,0.007,/,空调,0.006,A2,喜欢,0.006,E,吃糖,0.005,/,民巷,0.004,A1,客服,0.005,C,贴心,0.006,C3,花园,0.006,A
想象,0.005,/,私汤,0.007,E1,出门,0.007,A1,床品,0.005,A2,超近,0.004,A1,出门,0.005,A1,亲切,0.004,C3,无敌,0.005,E,绝美,0.006,A,牙膏,0.004,A2,放松,0.004,D2,提前,0.007,C1,制热,0.006,A2,整体,0.006,/,细问,0.005,C,生活用品,0.004,A2,阳台,0.005,A,失望,0.006,/,二楼,0.006,A
好吃,0.005,F1,风格,0.007,F,开灯,0.004,A2,治理,0.005,/,很好,0.004,/,坡子,0.005,A1,好玩,0.004,/,漂亮,0.005,A,态度,0.006,C,图片,0.004,A,大床,0.004,A2,提醒,0.005,C1,座位,0.006,A2,体验,0.006,/,意式,0.005,F2,吵闹,0.004,D2,地方,0.005,A1,喜欢,0.006,E,完美,0.006,E
窗户,0.005,A2,广场,0.007,A1,帮忙,0.004,C,停不下来,0.005,/,整体,0.004,/,友好,0.005,A4,周到,0.004,E4,咖啡,0.005,/,女朋友,0.006,/,套装,0.004,A2,舒心,0.004,D2,小伙伴,0.004,/,店里,0.006,A,设施,0.006,A2,想着,0.005,/,魅力,0.004,A,行李,0.004,/,楼层,0.006,A1,地址,0.006,A1
投影,0.005,A2,距离,0.007,A1,出差,0.004,/,喧闹,0.005,A1,晒太阳,0.004,/,贴心,0.005,C3,智能,0.004,A2,美景,0.005,A1,值得,0.006,E,宗街,0.004,A1,栖息,0.004,/,商圈,0.004,A1,地区,0.006,A1,投影,0.005,A2,包子铺,0.005,E1,同学,0.004,/,用心,0.004,E4,设施,0.006,A2,简单,0.003,/
体验,0.005,/,舒服,0.007,D2,穿衣服,0.004,/,完善,0.005,A2,阳台,0.004,A,体验,0.005,/,性价比,0.004,E,很大,0.005,A,寄存,0.006,/,行李,0.004,/,人生,0.004,/,解答,0.004,D,优秀,0.006,/,区域,0.005,A1,照片,0.005,A,软件,0.004,A2,总体,0.004,/,文和友,0.006,A1,走廊,0.003,A3
打扫,0.005,A3,朋友,0.007,/,可惜,0.004,/,气味,0.005,A3,时光,0.004,/,环境优美,0.005,A3,风格,0.004,F,价格,0.005,E,商圈,0.006,A1,店家,0.004,D,铁盒,0.004,/,醒来,0.004,/,房东,0.006,D,提前,0.005,C1,用品,0.005,A2,硬件,0.004,A2,居住,0.004,/,缺点,0.006,/,合影,0.003,A
浴缸,0.005,A2,位置,0.007,A1,露营,0.004,A2,日料,0.005,F1,好找,0.004,A1,前台,0.005,D,同学,0.004,/,夜市,0.005,A1,风景,0.006,A,明亮,0.004,A,缘故,0.004,/,拥挤,0.004,A,死角,0.006,A3,外卖,0.005,/,露营,0.005,A2,细节,0.004,E4,惬意,0.004,D2,卫生,0.006,A3,反馈,0.003,C4
态度,0.005,C,体验,0.007,/,拖鞋,0.004,A2,大厦,0.005,A1,到位,0.004,D,很棒,0.004,/,适合,0.004,/,距离,0.005,A1,床品,0.006,A2,广场,0.004,A1,地点,0.004,A1,不太好,0.004,/,拖鞋,0.006,A2,洗衣机,0.005,A2,筐子,0.005,A2,老街,0.004,A1,管家,0.004,D,推荐,0.006,E,露台,0.003,A
