Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重,Topic15-主题词,Topic15-权重,Topic16-主题词,Topic16-权重,Topic17-主题词,Topic17-权重,Topic18-主题词,Topic18-权重
不行,0.002,装修,0.000,游玩,0.004,外地,0.002,挺赞,0.002,床品,0.002,打扰,0.002,专属,0.003,隔离,0.003,打扫,0.002,民谣,0.004,视野,0.004,样子,0.000,市区,0.003,店长,0.005,打扫,0.004,地铁站,0.003,收拾,0.003,可爱,0.003
选择,0.002,适合,0.000,中订,0.004,变得,0.002,水龙头,0.002,噪音,0.002,绿色,0.002,小朋友,0.003,投影,0.003,店铺,0.002,巷子,0.004,好像,0.004,步行,0.000,备注,0.003,收费,0.005,颜值,0.004,煮茶,0.003,降温,0.003,伙伴,0.003
装修,0.002,完美,0.000,床单,0.004,停车场,0.002,撸猫,0.002,感谢,0.002,蜗牛,0.002,续住,0.003,小酒,0.003,观景,0.002,很似,0.004,好评,0.004,地方,0.000,清新,0.003,浓缩,0.005,输于,0.004,噪音,0.003,咖啡,0.003,热心,0.003
行李箱,0.002,便利,0.000,太棒,0.004,提供,0.002,老房子,0.002,行李,0.002,独立,0.002,懒人,0.003,送到,0.003,纯白,0.002,沟通,0.004,设计师,0.004,很大,0.000,倒闭,0.003,空间,0.005,氛围,0.004,店家,0.003,瓜子,0.003,空间,0.003
原木,0.002,好看,0.000,图片,0.004,想起,0.002,客房,0.002,位于,0.002,头发,0.002,选择,0.003,设计师,0.003,半岛,0.002,很棒,0.004,帘子,0.004,拍照,0.000,电话,0.003,幸运,0.005,顶层,0.004,步行,0.003,太棒,0.003,好吃,0.003
习惯性,0.002,总体设计,0.000,睡觉,0.004,照片,0.002,顺利,0.002,小酒馆,0.002,光芒,0.002,大方,0.003,距离,0.003,房东,0.002,小楼,0.004,效果,0.004,很漂亮,0.000,姐姐,0.003,气息,0.005,穿越,0.004,值得,0.003,途径,0.003,安心,0.003
周到,0.002,浴室,0.000,便利,0.004,私密,0.002,攻略,0.002,安排,0.002,停车场,0.002,热水,0.003,空间,0.003,铁盒,0.002,像是,0.004,没换,0.004,电器,0.000,发生,0.003,过得去,0.005,感受,0.004,洗脸,0.003,离开,0.003,服务态度,0.003
步行,0.002,居住,0.000,投影仪,0.004,洗脸,0.002,电影,0.002,外出,0.002,私密,0.002,超近,0.003,出片,0.003,居住,0.002,下午茶,0.004,鸭子,0.004,情调,0.000,好吃,0.003,环境卫生,0.005,前台,0.004,好找,0.002,心动,0.003,地铁,0.003
打开,0.002,挺好,0.000,直路,0.004,屋子,0.002,森林,0.002,名宿,0.002,屋子,0.002,水果,0.003,吃饭,0.003,巷子,0.002,景点,0.004,还订,0.004,机会,0.000,阳台,0.003,居住,0.005,净土,0.004,耐心,0.002,快递,0.003,电影,0.003
看中,0.002,宠物,0.000,坐在,0.004,商圈,0.002,绿化,0.002,小区,0.002,走过,0.002,潮宗,0.003,出去玩,0.003,市中心,0.002,主人,0.004,步行街,0.004,好看,0.000,家住,0.003,当地人,0.005,不行,0.004,惊喜,0.002,生怕,0.003,值得,0.003
供暖,0.002,帮忙,0.000,热水器,0.004,走过,0.002,公社,0.002,院子,0.002,惊喜,0.002,网红,0.003,便利,0.003,潮宗,0.002,愉快,0.004,自驾,0.004,适合,0.000,店家,0.003,店家,0.005,很大,0.004,屋子,0.002,确实,0.003,关灯,0.003
民俗,0.002,环境卫生,0.000,湖景,0.004,光芒,0.002,水果,0.002,阳台,0.002,衣架,0.002,对住,0.003,街道,0.003,回来,0.002,不太好,0.004,可爱,0.004,坡子,0.000,希望,0.003,价格公道,0.005,河景,0.004,照片,0.002,私家,0.003,宵夜,0.003
天气,0.002,地铁,0.000,蜗牛,0.004,惊喜,0.002,冬瓜,0.002,卫生间,0.002,情绪,0.002,芙蓉,0.003,公园,0.003,提前,0.002,氛围,0.004,讲解,0.004,出门,0.000,出气,0.003,夜丘,0.005,裸辞,0.004,热闹,0.002,不行,0.003,幸运,0.003
