Pre-Theme,Theme,Sim,Theme,Next-Theme,Sim,Theme,Next-Theme,Sim
Q1 Topic 18,Q2 Topic 4,0.77,,,,Q3 Topic 12,Q4 Topic 11,0.76
Q1 Topic 18,Q2 Topic 5,0.65,,,,Q3 Topic 12,Q4 Topic 12,0.81
Q1 Topic 18,Q2 Topic 6,0.75,,,,Q3 Topic 12,Q4 Topic 13,0.63
Q1 Topic 18,Q2 Topic 7,0.77,,,,Q3 Topic 12,Q4 Topic 14,0.57
Q1 Topic 18,Q2 Topic 8,0.6,,,,Q3 Topic 12,Q4 Topic 15,0.69
Q1 Topic 18,Q2 Topic 9,0.55,,,,Q3 Topic 13,Q4 Topic 0,0.72
Q1 Topic 18,Q2 Topic 10,0.72,,,,Q3 Topic 13,Q4 Topic 1,0.56
Q1 Topic 18,Q2 Topic 11,0.69,,,,Q3 Topic 13,Q4 Topic 2,0.75
Q1 Topic 18,Q2 Topic 12,0.69,,,,Q3 Topic 13,Q4 Topic 3,0.56
,,,,,,Q3 Topic 13,Q4 Topic 4,0.68
,,,,,,Q3 Topic 13,Q4 Topic 5,0.68
,,,,,,Q3 Topic 13,Q4 Topic 6,0.75
,,,,,,Q3 Topic 13,Q4 Topic 7,0.74
,,,,,,Q3 Topic 13,Q4 Topic 8,0.62
,,,,,,Q3 Topic 13,Q4 Topic 9,0.66
,,,,,,Q3 Topic 13,Q4 Topic 10,0.74
,,,,,,Q3 Topic 13,Q4 Topic 11,0.72
,,,,,,Q3 Topic 13,Q4 Topic 12,0.62
,,,,,,Q3 Topic 13,Q4 Topic 13,0.8
,,,,,,Q3 Topic 13,Q4 Topic 14,0.57
,,,,,,Q3 Topic 13,Q4 Topic 15,0.74
