Pre-Theme,Theme,Sim,Theme,Next-Theme,Sim,Theme,Next-Theme,Sim
Q1 Topic 7,Q2 Topic 6,0.81,Q2 Topic 6,Q3 Topic 3,0.74,Q3 Topic 5,Q4 Topic 3,0.56
Q1 Topic 7,Q2 Topic 7,0.85,Q2 Topic 6,Q3 Topic 4,0.9,Q3 Topic 5,Q4 Topic 4,0.76
Q1 Topic 7,Q2 Topic 8,0.66,Q2 Topic 6,Q3 Topic 5,0.81,Q3 Topic 5,Q4 Topic 5,0.87
Q1 Topic 7,Q2 Topic 9,0.62,Q2 Topic 6,Q3 Topic 6,0.97,Q3 Topic 5,Q4 Topic 6,0.83
Q1 Topic 7,Q2 Topic 10,0.74,Q2 Topic 6,Q3 Topic 7,0.87,Q3 Topic 5,Q4 Topic 7,0.76
Q1 Topic 7,Q2 Topic 11,0.78,Q2 Topic 6,Q3 Topic 8,0.75,Q3 Topic 5,Q4 Topic 8,0.66
Q1 Topic 7,Q2 Topic 12,0.69,Q2 Topic 6,Q3 Topic 9,0.69,Q3 Topic 5,Q4 Topic 9,0.68
Q1 Topic 8,Q2 Topic 0,0.57,Q2 Topic 6,Q3 Topic 10,0.9,Q3 Topic 5,Q4 Topic 10,0.77
Q1 Topic 8,Q2 Topic 1,0.58,Q2 Topic 6,Q3 Topic 11,0.83,Q3 Topic 5,Q4 Topic 11,0.73
Q1 Topic 8,Q2 Topic 2,0.62,Q2 Topic 6,Q3 Topic 12,0.82,Q3 Topic 5,Q4 Topic 12,0.65
Q1 Topic 8,Q2 Topic 4,0.64,Q2 Topic 6,Q3 Topic 13,0.76,Q3 Topic 5,Q4 Topic 13,0.59
Q1 Topic 8,Q2 Topic 5,0.64,Q2 Topic 7,Q3 Topic 0,0.73,Q3 Topic 5,Q4 Topic 14,0.84
Q1 Topic 8,Q2 Topic 6,0.65,Q2 Topic 7,Q3 Topic 1,0.63,Q3 Topic 5,Q4 Topic 15,0.77
Q1 Topic 8,Q2 Topic 7,0.75,Q2 Topic 7,Q3 Topic 2,0.77,Q3 Topic 6,Q4 Topic 0,0.74
Q1 Topic 8,Q2 Topic 8,0.79,Q2 Topic 7,Q3 Topic 3,0.62,Q3 Topic 6,Q4 Topic 1,0.71
Q1 Topic 8,Q2 Topic 9,0.64,Q2 Topic 7,Q3 Topic 4,0.82,Q3 Topic 6,Q4 Topic 2,0.84
Q1 Topic 8,Q2 Topic 10,0.74,Q2 Topic 7,Q3 Topic 5,0.73,Q3 Topic 6,Q4 Topic 3,0.66
Q1 Topic 8,Q2 Topic 11,0.75,Q2 Topic 7,Q3 Topic 6,0.85,Q3 Topic 6,Q4 Topic 4,0.88
Q1 Topic 8,Q2 Topic 12,0.67,Q2 Topic 7,Q3 Topic 7,0.91,Q3 Topic 6,Q4 Topic 5,0.85
Q1 Topic 9,Q2 Topic 0,0.57,Q2 Topic 7,Q3 Topic 8,0.8,Q3 Topic 6,Q4 Topic 6,0.96
Q1 Topic 9,Q2 Topic 1,0.57,Q2 Topic 7,Q3 Topic 9,0.72,Q3 Topic 6,Q4 Topic 7,0.87
Q1 Topic 9,Q2 Topic 2,0.65,Q2 Topic 7,Q3 Topic 10,0.88,Q3 Topic 6,Q4 Topic 8,0.72
Q1 Topic 9,Q2 Topic 4,0.64,Q2 Topic 7,Q3 Topic 11,0.82,Q3 Topic 6,Q4 Topic 9,0.74
Q1 Topic 9,Q2 Topic 5,0.54,Q2 Topic 7,Q3 Topic 12,0.79,Q3 Topic 6,Q4 Topic 10,0.86
Q1 Topic 9,Q2 Topic 6,0.63,Q2 Topic 7,Q3 Topic 13,0.75,Q3 Topic 6,Q4 Topic 11,0.85
Q1 Topic 9,Q2 Topic 7,0.64,Q2 Topic 8,Q3 Topic 0,0.63,Q3 Topic 6,Q4 Topic 12,0.75
Q1 Topic 9,Q2 Topic 8,0.65,Q2 Topic 8,Q3 Topic 1,0.59,Q3 Topic 6,Q4 Topic 13,0.67
Q1 Topic 9,Q2 Topic 9,0.73,Q2 Topic 8,Q3 Topic 2,0.6,Q3 Topic 6,Q4 Topic 14,0.78
Q1 Topic 9,Q2 Topic 10,0.76,Q2 Topic 8,Q3 Topic 3,0.5,Q3 Topic 6,Q4 Topic 15,0.85
Q1 Topic 9,Q2 Topic 11,0.61,Q2 Topic 8,Q3 Topic 4,0.56,Q3 Topic 7,Q4 Topic 0,0.72
Q1 Topic 10,Q2 Topic 0,0.69,Q2 Topic 8,Q3 Topic 5,0.59,Q3 Topic 7,Q4 Topic 1,0.66
Q1 Topic 10,Q2 Topic 1,0.62,Q2 Topic 8,Q3 Topic 6,0.62,Q3 Topic 7,Q4 Topic 2,0.79
Q1 Topic 10,Q2 Topic 2,0.72,Q2 Topic 8,Q3 Topic 7,0.72,Q3 Topic 7,Q4 Topic 3,0.58
Q1 Topic 10,Q2 Topic 4,0.63,Q2 Topic 8,Q3 Topic 8,0.76,Q3 Topic 7,Q4 Topic 4,0.84
Q1 Topic 10,Q2 Topic 5,0.57,Q2 Topic 8,Q3 Topic 9,0.7,Q3 Topic 7,Q4 Topic 5,0.81
Q1 Topic 10,Q2 Topic 6,0.68,Q2 Topic 8,Q3 Topic 10,0.69,Q3 Topic 7,Q4 Topic 6,0.88
Q1 Topic 10,Q2 Topic 7,0.7,Q2 Topic 8,Q3 Topic 11,0.69,Q3 Topic 7,Q4 Topic 7,0.91
Q1 Topic 10,Q2 Topic 8,0.72,Q2 Topic 8,Q3 Topic 12,0.63,Q3 Topic 7,Q4 Topic 8,0.78
Q1 Topic 10,Q2 Topic 9,0.7,Q2 Topic 8,Q3 Topic 13,0.6,Q3 Topic 7,Q4 Topic 9,0.74
